wsrun	coveralls	jest	prettier	Reason
5.2.1	3.0.9	26.4.0	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_23_50_132Z-debug.log</ br>
5.2.1	3.0.9	26.2.1	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_24_37_322Z-debug.log</ br>
5.2.0	3.0.9	26.4.2	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_25_32_390Z-debug.log</ br>
5.2.1	3.0.9	26.1.0	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_26_22_377Z-debug.log</ br>
5.2.1	3.0.9	26.4.2	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_27_10_068Z-debug.log</ br>
5.2.1	3.0.9	26.2.2	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_27_57_630Z-debug.log</ br>
5.2.1	3.0.9	26.2.0	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_28_44_659Z-debug.log</ br>
5.2.1	3.0.9	26.0.1	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_29_30_863Z-debug.log</ br>
5.2.1	3.0.9	26.4.1	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_30_20_779Z-debug.log</ br>
5.2.1	3.0.9	26.3.0	1.19.1	</ br>> pug-monorepo@ build C:\Mahir\VT\Research\npm-package-coupling\sources\dataset\jade</ br>> wsrun --stages --exclude-missing --fast-exit --collect-logs build</ br></ br>pug-error has no build script, skipping missing</ br>pug-lexer has no build script, skipping missing</ br>pug-parser has no build script, skipping missing</ br>pug-walk has no build script, skipping missing</ br>pug-load has no build script, skipping missing</ br>pug-filters has no build script, skipping missing</ br>pug-linker has no build script, skipping missing</ br>pug-strip-comments has no build script, skipping missing</ br>pug-runtime</ br> | 'yarn' is not recognized as an internal or external command,</ br> | operable program or batch file.</ br> | `yarn build` failed with exit code 1</ br>Stopping 1 active children</ br>Aborted execution due to previous error</ br>npm ERR! code ELIFECYCLE</ br>npm ERR! errno 1</ br>npm ERR! pug-monorepo@ build: `wsrun --stages --exclude-missing --fast-exit --collect-logs build`</ br>npm ERR! Exit status 1</ br>npm ERR! </ br>npm ERR! Failed at the pug-monorepo@ build script.</ br>npm ERR! This is probably not a problem with npm. There is likely additional logging output above.</ br></ br>npm ERR! A complete log of this run can be found in:</ br>npm ERR!     C:\Users\asefk\AppData\Roaming\npm-cache\_logs\2020-09-04T00_31_08_874Z-debug.log</ br>
